streak_id,length,start_trade,end_trade,total_loss,avg_confluence_score,avg_hurst,avg_lr_deviation,avg_r2,avg_skewness,avg_kurtosis,avg_atr_percentile,virtual_trades,real_trades,buy_trades,sell_trades
1,10,4,13,-596.63765141664,76.432,0.7783124604275914,-0.08372296556838021,0.19770702818050984,-0.1929085918850004,0.16852674718811173,43.3,3,7,9,1
2,7,60,66,-91.27537446292578,76.09714285714286,0.7492228118249429,-1.4070748526630186,0.4769349454360305,-0.15880840278723943,0.8730587756643473,25.285714285714285,3,4,1,6
3,8,107,114,-154.68550868692077,77.735,0.750070028643576,-0.41692758229523086,0.3720538189099036,0.09128008589288901,-0.10104826357529208,44.125,3,5,6,2
4,7,146,152,-55.85569862771078,78.63428571428572,0.7548921766084257,2.0887422877893878,0.4208177912492616,1.6061397875183778,4.1853736186139345,52.142857142857146,3,4,1,6
5,7,154,160,-72.92096483945465,82.16857142857144,0.7428988698607357,-1.0528119946488912,0.37274659894838524,-1.2302969661171164,3.6477887620770586,33.285714285714285,3,4,0,7
6,10,199,208,-668.4116579893837,76.55999999999999,0.7568758132914601,0.6622364414018024,0.47654052891683313,0.693561460206884,0.9940981627101587,13.2,3,7,3,7
7,8,216,223,-131.70897389573844,80.785,0.7373670566345335,0.6206095921002011,0.5678510499708973,-0.3986476527040894,0.04069047627433414,48.25,3,5,0,8
8,7,277,283,-67.02396613777162,83.58857142857143,0.7805372717032772,0.7395139421918254,0.45639467003062284,0.513981646771797,1.2283966189639612,39.285714285714285,3,4,0,7
9,11,285,295,-952.1512042991399,80.70363636363638,0.7553556907948753,1.0178167974520944,0.47117544402655065,-0.28879383577609713,1.2211767381319485,59.90909090909091,3,8,0,11
10,7,344,350,-105.13116209349694,76.82000000000001,0.8170406627272637,0.7133202464710092,0.4659190455205749,0.5788309888814218,2.410682196961727,29.142857142857142,3,4,7,0
11,8,374,381,-126.28616647689172,79.45,0.7534178450602392,1.865397294589467,0.5815150843239071,0.09757911573592154,-0.04431367370416234,40.75,3,5,0,8
12,6,459,464,-35.53274528733197,79.07666666666667,0.7579936446005145,0.689723018196514,0.42299379647501967,0.6263436784822438,2.0510548226420187,34.833333333333336,3,3,6,0
13,7,518,524,-69.31051399729715,78.55714285714285,0.7652355352405281,-0.02536026737504793,0.445827656667338,0.4766946009116368,1.6913080336444455,45.57142857142857,3,4,3,4
14,7,547,553,-101.21959615337572,79.64285714285714,0.7973874145428957,-2.34625309805114,0.30395537102185477,-1.1931451628541034,2.853242229532491,31.285714285714285,3,4,0,7
15,7,673,679,-86.21982339903079,79.96857142857144,0.6816372165172185,-0.48478287471296716,0.5400965239489025,0.25198928438844204,0.4499325042436833,44.142857142857146,3,4,7,0
16,8,700,707,-158.77884422583313,75.19999999999999,0.7189227780774543,-1.3848574337818733,0.7906776960009748,-0.4030425975163927,0.07273263013498915,43.0,3,5,8,0
17,8,810,817,-131.06849737783287,78.4725,0.724106065162504,-0.8535636688447601,0.508528125564119,0.2590604128202731,0.3541600595366904,37.875,3,5,8,0
