time,open,high,low,close,volume
2023-11-27 00:00:00,1.25969,1.2604899999999999,1.25926,1.26025,214
2023-11-27 01:00:00,1.26029,1.2605,1.25984,1.25995,738
2023-11-27 02:00:00,1.25996,1.2601499999999999,1.25927,1.25942,1541
2023-11-27 03:00:00,1.25942,1.26102,1.25913,1.26035,2189
2023-11-27 04:00:00,1.26038,1.2603900000000001,1.25911,1.2599,1939
2023-11-27 05:00:00,1.25991,1.2606600000000001,1.2595,1.26055,1420
2023-11-27 06:00:00,1.26054,1.2610000000000001,1.25998,1.2607,1316
2023-11-27 07:00:00,1.2607,1.26128,1.26052,1.26108,1262
2023-11-27 08:00:00,1.26108,1.2622,1.26106,1.26169,2052
2023-11-27 09:00:00,1.26178,1.26272,1.2610299999999999,1.26174,2587
2023-11-27 10:00:00,1.2617,1.26245,1.26052,1.26083,3198
2023-11-27 11:00:00,1.26082,1.26166,1.2604,1.26084,2439
2023-11-27 12:00:00,1.26086,1.26254,1.26021,1.26234,2375
2023-11-27 13:00:00,1.26234,1.26364,1.2616,1.26348,2029
2023-11-27 14:00:00,1.26348,1.26441,1.26287,1.2637399999999999,2391
2023-11-27 15:00:00,1.26384,1.26393,1.2624,1.26253,4108
2023-11-27 16:00:00,1.26254,1.26288,1.26132,1.2615,4062
2023-11-27 17:00:00,1.26154,1.2622200000000001,1.26032,1.26056,4511
2023-11-27 18:00:00,1.26058,1.2612700000000001,1.2600799999999999,1.26104,3635
2023-11-27 19:00:00,1.26102,1.26125,1.26013,1.26035,1665
2023-11-27 20:00:00,1.26034,1.26209,1.26017,1.2619500000000001,2110
2023-11-27 21:00:00,1.26196,1.26339,1.26194,1.26326,1521
2023-11-27 22:00:00,1.26326,1.26326,1.26254,1.26296,1589
2023-11-27 23:00:00,1.26296,1.26302,1.26258,1.26273,1007
2023-11-28 00:00:00,1.26255,1.2631299999999999,1.26199,1.26242,780
2023-11-28 01:00:00,1.26246,1.26348,1.26246,1.2634699999999999,555
2023-11-28 02:00:00,1.26346,1.26396,1.26316,1.26352,1520
2023-11-28 03:00:00,1.26355,1.26421,1.26295,1.2634400000000001,2032
2023-11-28 04:00:00,1.2634400000000001,1.2641499999999999,1.2631000000000001,1.2637,1875
2023-11-28 05:00:00,1.26368,1.26391,1.26314,1.26316,1445
