entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_hurst,weight_skewness,weight_kurtosis,weight_obv_div,weight_regime,weight_vwap,weight_obv,weight_volume
2023-10-30 11:00:00,1.20972,SELL,0.01,1.211066726440345,1.2070265471193098,VIRTUAL,2023-10-30 12:00:00,1.211066726440345,SL,-1.3467264403450585,-13.467264403450585,88.0,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-10-30 14:30:00,1.21348,BUY,0.01,1.2121049536569988,1.2162300926860021,VIRTUAL,2023-10-30 17:30:00,1.2121049536569988,SL,-1.3750463430011184,-13.750463430011184,72.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-10-30 18:00:00,1.21582,BUY,0.01,1.2138534371964986,1.2197531256070022,VIRTUAL,2023-10-31 06:45:00,1.2138534371964986,SL,-1.9665628035012706,-19.665628035012706,70.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-10-31 06:45:00,1.21445,BUY,0.06,1.2136366544198744,1.2160766911602514,REAL,2023-10-31 10:45:00,1.2160766911602514,TP,9.760146961508287,16.26691160251381,77.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-10-31 12:30:00,1.2184,BUY,0.01,1.2170716892050206,1.2210566215899585,VIRTUAL,2023-10-31 15:30:00,1.2170716892050206,SL,-1.3283107949793038,-13.283107949793038,83.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-10-31 15:30:00,1.21618,BUY,0.01,1.2145570491856557,1.219425901628689,VIRTUAL,2023-10-31 16:15:00,1.2145570491856557,SL,-1.6229508143443816,-16.229508143443816,74.75,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-01 10:15:00,1.21575,BUY,0.01,1.2147606431544258,1.2177287136911488,VIRTUAL,2023-11-01 11:15:00,1.2147606431544258,SL,-0.9893568455743296,-9.893568455743296,79.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-02 02:15:00,1.2176,BUY,0.04,1.2164625514607368,1.2198748970785267,REAL,2023-11-02 10:45:00,1.2164625514607368,SL,-4.549794157052922,-11.374485392632305,79.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-02 13:00:00,1.21864,BUY,0.05,1.2170070139519151,1.2219059720961698,REAL,2023-11-02 15:15:00,1.2219059720961698,TP,16.329860480849277,32.659720961698554,80.8,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-02 15:15:00,1.22185,BUY,0.01,1.220138287909417,1.2252734241811665,VIRTUAL,2023-11-02 16:15:00,1.220138287909417,SL,-1.711712090583184,-17.11712090583184,83.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-02 21:30:00,1.22036,BUY,0.01,1.2191111059011506,1.2228577881976983,VIRTUAL,2023-11-03 02:45:00,1.2191111059011506,SL,-1.248894098849318,-12.48894098849318,73.8,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-03 13:00:00,1.22196,BUY,0.01,1.2208868700161253,1.224106259967749,VIRTUAL,2023-11-03 15:30:00,1.224106259967749,TP,2.146259967749087,21.462599677490868,81.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-03 15:30:00,1.23032,BUY,0.01,1.2279318074483643,1.2350963851032717,VIRTUAL,2023-11-03 18:00:00,1.2350963851032717,TP,4.776385103271608,47.763851032716076,81.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-03 18:00:00,1.23506,BUY,0.01,1.2324493697805288,1.2402812604389426,VIRTUAL,2023-11-06 10:30:00,1.2402812604389426,TP,5.221260438942554,52.21260438942554,78.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-06 10:30:00,1.24094,BUY,0.01,1.2394154259469006,1.2439891481061989,VIRTUAL,2023-11-06 14:45:00,1.2394154259469006,SL,-1.524574053099359,-15.24574053099359,70.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-06 14:45:00,1.23918,BUY,0.01,1.237587617197861,1.2423647656042776,VIRTUAL,2023-11-06 17:00:00,1.237587617197861,SL,-1.5923828021389141,-15.923828021389141,93.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-06 17:00:00,1.23734,BUY,0.01,1.2355987923059628,1.2408224153880747,VIRTUAL,2023-11-06 21:45:00,1.2355987923059628,SL,-1.7412076940372945,-17.412076940372945,79.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-06 21:45:00,1.23516,BUY,0.05,1.234091127505075,1.2372977449898503,REAL,2023-11-06 23:15:00,1.234091127505075,SL,-5.34436247462522,-10.688724949250439,78.975,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 05:30:00,1.23352,BUY,0.15,1.2328531565357055,1.2348536869285889,REAL,2023-11-07 06:30:00,1.2328531565357055,SL,-10.002651964416964,-6.668434642944643,72.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 08:45:00,1.23196,BUY,0.27,1.2312026324346905,1.2334747351306186,REAL,2023-11-07 09:45:00,1.2312026324346905,SL,-20.448924263354318,-7.573675653094192,79.25,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 10:00:00,1.2319,BUY,0.45,1.2310060979681627,1.2336878040636745,REAL,2023-11-07 11:15:00,1.2310060979681627,SL,-40.225591432676566,-8.93902031837257,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 11:45:00,1.23037,BUY,0.66,1.2291375974481291,1.2328348051037419,REAL,2023-11-07 13:15:00,1.2291375974481291,SL,-81.33856842347598,-12.324025518708481,94.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 13:15:00,1.229,BUY,1.18,1.2276248868548485,1.2317502262903035,REAL,2023-11-07 13:30:00,1.2276248868548485,SL,-162.26335112788834,-13.751131451515963,80.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-07 13:30:00,1.22756,BUY,2.17,1.226064235274202,1.2305515294515963,REAL,2023-11-07 15:00:00,1.2305515294515963,TP,649.1618909963989,29.915294515963087,80.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-08 03:15:00,1.22842,BUY,0.01,1.2276034760740462,1.2300530478519078,VIRTUAL,2023-11-08 07:30:00,1.2276034760740462,SL,-0.8165239259538826,-8.165239259538826,73.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-08 08:45:00,1.22728,BUY,0.01,1.2265488654291048,1.2287422691417902,VIRTUAL,2023-11-08 09:15:00,1.2265488654291048,SL,-0.731134570895131,-7.311345708951311,79.75,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-08 09:15:00,1.22664,BUY,0.01,1.2258099033667498,1.2283001932665003,VIRTUAL,2023-11-08 11:00:00,1.2258099033667498,SL,-0.830096633250177,-8.300966332501769,77.475,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-08 11:00:00,1.22458,BUY,0.04,1.223278760903561,1.2271824781928782,REAL,2023-11-08 16:00:00,1.2271824781928782,TP,10.409912771512708,26.02478192878177,94.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-09 03:15:00,1.22846,BUY,0.01,1.2277337126784043,1.229912574643192,VIRTUAL,2023-11-09 08:00:00,1.2277337126784043,SL,-0.7262873215958533,-7.262873215958532,71.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-09 21:00:00,1.22313,BUY,0.01,1.2208674911878457,1.2276550176243088,VIRTUAL,2023-11-10 11:30:00,1.2208674911878457,SL,-2.2625088121543957,-22.625088121543957,76.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-14 09:15:00,1.22967,BUY,0.01,1.228833963013079,1.2313420739738423,VIRTUAL,2023-11-14 10:00:00,1.228833963013079,SL,-0.8360369869211404,-8.360369869211404,88.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-14 10:00:00,1.22834,BUY,0.05,1.2273008731080695,1.2304182537838613,REAL,2023-11-14 12:00:00,1.2304182537838613,TP,10.39126891930642,20.782537838612836,71.39999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-14 16:00:00,1.24267,BUY,0.01,1.2391279634939705,1.249754073012059,VIRTUAL,2023-11-14 21:30:00,1.249754073012059,TP,7.084073012059156,70.84073012059156,79.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-14 21:30:00,1.24952,BUY,0.01,1.2482269792813283,1.2521060414373433,VIRTUAL,2023-11-15 02:30:00,1.2482269792813283,SL,-1.2930207186716558,-12.930207186716558,82.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-15 02:30:00,1.24794,BUY,0.01,1.2469658885817712,1.2498882228364576,VIRTUAL,2023-11-15 09:00:00,1.2469658885817712,SL,-0.9741114182288957,-9.741114182288957,77.875,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-15 15:45:00,1.24426,BUY,0.01,1.2418606140114674,1.2490587719770652,VIRTUAL,2023-11-15 16:45:00,1.2418606140114674,SL,-2.3993859885325097,-23.993859885325097,74.25,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-16 04:30:00,1.2391,SELL,0.05,1.2401521587945907,1.2369956824108186,REAL,2023-11-16 11:00:00,1.2401521587945907,SL,-5.260793972953204,-10.521587945906408,76.95,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-17 10:00:00,1.23862,SELL,0.08,1.2399308170770502,1.2359983658458995,REAL,2023-11-17 11:00:00,1.2399308170770502,SL,-10.486536616401308,-13.108170770501637,85.9,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-17 12:00:00,1.24244,BUY,0.11,1.240610382956576,1.2460992340868478,REAL,2023-11-17 16:30:00,1.240610382956576,SL,-20.125787477663916,-18.296170434239922,71.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2023-11-17 21:45:00,1.24485,BUY,0.39,1.2437983475116314,1.2469533049767374,REAL,2023-11-20 03:15:00,1.2469533049767374,TP,82.02889409275804,21.033049767373857,70.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
