time,open,high,low,close,volume
2022-10-28,1.15574,1.16236,1.15039,1.1612,125795
2022-10-31,1.15714,1.16133,1.146,1.14657,105674
2022-11-01,1.14788,1.15662,1.14371,1.14814,113607
2022-11-02,1.14775,1.15645,1.13878,1.13895,124175
2022-11-03,1.13891,1.14218,1.11515,1.11574,118138
2022-11-04,1.11543,1.13821,1.11467,1.13729,134000
2022-11-07,1.13045,1.15416,1.12902,1.1513,115833
2022-11-08,1.1513200000000001,1.15993,1.14297,1.15439,105039
2022-11-09,1.15361,1.15673,1.13338,1.13575,130176
2022-11-10,1.13569,1.17316,1.13499,1.17126,139367
2022-11-11,1.17154,1.18545,1.16471,1.1832799999999999,142140
2022-11-14,1.17917,1.18291,1.17102,1.17572,130140
2022-11-15,1.17498,1.20284,1.1740599999999999,1.18658,140552
2022-11-16,1.18542,1.1942,1.18313,1.19143,133191
2022-11-17,1.19122,1.19577,1.17624,1.1864,125907
2022-11-18,1.18617,1.19508,1.1857199999999999,1.18814,111098
2022-11-21,1.18929,1.18967,1.17788,1.18231,115572
2022-11-22,1.18214,1.19029,1.18185,1.18846,108692
2022-11-23,1.18847,1.20808,1.18723,1.20539,107170
2022-11-24,1.2052,1.21534,1.20462,1.21133,95976
2022-11-25,1.21057,1.21277,1.2058,1.20911,104103
2022-11-28,1.2059,1.2118,1.19402,1.19518,120109
2022-11-29,1.19497,1.2064300000000001,1.19444,1.19527,128291
2022-11-30,1.19508,1.2086999999999999,1.19004,1.20568,122383
2022-12-01,1.20502,1.23103,1.20455,1.22552,123704
2022-12-02,1.22512,1.23,1.21344,1.2291400000000001,107346
2022-12-05,1.22684,1.23444,1.21618,1.21946,118367
2022-12-06,1.21734,1.22694,1.21274,1.2133099999999999,110814
2022-12-07,1.21326,1.22344,1.21062,1.22094,118068
2022-12-08,1.21997,1.22474,1.21546,1.2236,105353
2022-12-09,1.22281,1.23224,1.22024,1.22634,113346
2022-12-12,1.22475,1.22988,1.2207,1.2265,99794
2022-12-13,1.2263,1.24439,1.22486,1.23651,122191
2022-12-14,1.23572,1.24463,1.23418,1.24274,125565
2022-12-15,1.24208,1.2428,1.2156500000000001,1.21783,125443
2022-12-16,1.2177,1.22231,1.21198,1.21432,118128
2022-12-19,1.21488,1.22417,1.21209,1.21454,94783
2022-12-20,1.21469,1.22234,1.20855,1.2184300000000001,134683
2022-12-21,1.2175,1.21918,1.2055,1.20825,105385
2022-12-22,1.20759,1.21474,1.19924,1.20397,105676
2022-12-23,1.20259,1.20902,1.20184,1.20517,97234
2022-12-27,1.20516,1.21126,1.20023,1.2028699999999999,86581
2022-12-28,1.20261,1.21256,1.20021,1.20187,92153
2022-12-29,1.20141,1.20788,1.20112,1.20547,78291
2022-12-30,1.20512,1.21076,1.20098,1.20808,92403
2023-01-02,1.20723,1.21054,1.20351,1.20457,18265
2023-01-03,1.20454,1.20848,1.19002,1.19674,111909
2023-01-04,1.19684,1.20872,1.19577,1.2056499999999999,116255
2023-01-05,1.20525,1.20772,1.18736,1.1911100000000001,114058
2023-01-06,1.19048,1.20993,1.18411,1.2092,116391
2023-01-09,1.2083599999999999,1.2209699999999999,1.20832,1.2185,113278
2023-01-10,1.21786,1.21982,1.21098,1.2151399999999999,111766
2023-01-11,1.21522,1.21784,1.21004,1.21481,95275
2023-01-12,1.2139,1.22469,1.20853,1.22121,120675
2023-01-13,1.22065,1.22488,1.21505,1.22333,109012
2023-01-16,1.2217,1.22889,1.21713,1.21962,77308
2023-01-17,1.21909,1.23004,1.21689,1.22884,104596
2023-01-18,1.2282,1.24356,1.22544,1.23442,119338
2023-01-19,1.2342,1.23973,1.2313,1.23912,100599
2023-01-20,1.23893,1.24045,1.2335099999999999,1.2399,87142
2023-01-23,1.24004,1.24479,1.23234,1.23784,85044
2023-01-24,1.23766,1.24137,1.2263,1.23393,83241
2023-01-25,1.23262,1.24041,1.2283,1.2401,84179
2023-01-26,1.23972,1.24307,1.2345,1.24114,79906
2023-01-27,1.24066,1.2419,1.23454,1.23983,71027
2023-01-30,1.23838,1.24174,1.23367,1.23505,83841
2023-01-31,1.23471,1.23713,1.2284,1.23182,79062
2023-02-01,1.23194,1.23936,1.2272,1.23724,85774
2023-02-02,1.2374100000000001,1.24021,1.22223,1.2223600000000001,103616
2023-02-03,1.22238,1.22656,1.20477,1.20532,96007
2023-02-06,1.2028699999999999,1.20774,1.20056,1.20215,86304
2023-02-07,1.2015500000000001,1.20949,1.19611,1.20482,95835
2023-02-08,1.2046000000000001,1.21097,1.20347,1.20713,78256
2023-02-09,1.20701,1.2194,1.20566,1.21181,83406
2023-02-10,1.21174,1.21396,1.20472,1.20544,86026
2023-02-13,1.20659,1.21519,1.20306,1.21398,73734
2023-02-14,1.2132100000000001,1.227,1.21169,1.21751,103889
2023-02-15,1.217,1.21816,1.19896,1.20339,91275
2023-02-16,1.20256,1.20742,1.19652,1.1988,99296
2023-02-17,1.19943,1.20495,1.19149,1.20406,94329
2023-02-20,1.2024,1.20568,1.20145,1.20407,72151
2023-02-21,1.20345,1.21476,1.19859,1.21111,98588
2023-02-22,1.21119,1.21354,1.20347,1.20454,95809
2023-02-23,1.20441,1.2075,1.19919,1.20156,90814
2023-02-24,1.20079,1.2042,1.19281,1.19394,101390
2023-02-27,1.19499,1.20661,1.19223,1.2062599999999999,88661
2023-02-28,1.20636,1.21436,1.20176,1.2022599999999999,85798
2023-03-01,1.20203,1.20889,1.1965,1.20268,102020
2023-03-02,1.20263,1.20366,1.19245,1.1948,92986
2023-03-03,1.19416,1.20487,1.19412,1.2043,79294
2023-03-06,1.20283,1.20487,1.19926,1.20262,76217
2023-03-07,1.20184,1.20651,1.18211,1.18264,91893
2023-03-08,1.1826,1.18592,1.18025,1.18439,77714
2023-03-09,1.18392,1.19388,1.18317,1.19234,77083
2023-03-10,1.19245,1.21136,1.19075,1.20315,116969
2023-03-13,1.20817,1.21999,1.20463,1.21825,146346
2023-03-14,1.21814,1.22036,1.2135799999999999,1.21586,122759
2023-03-15,1.21567,1.2181899999999999,1.201,1.20545,130581
2023-03-16,1.2057,1.21278,1.20269,1.21106,119158
2023-03-17,1.21078,1.22008,1.20953,1.21772,96976
2023-03-20,1.22069,1.22848,1.21668,1.22789,99040
2023-03-21,1.22775,1.22827,1.21787,1.22173,65452
2023-03-22,1.22152,1.23348,1.22085,1.22683,78503
2023-03-23,1.22622,1.23432,1.22605,1.22868,91312
2023-03-24,1.22833,1.22923,1.21903,1.22295,85166
2023-03-27,1.2221899999999999,1.22932,1.22184,1.22877,70945
2023-03-28,1.22805,1.23493,1.22782,1.23404,63738
2023-03-29,1.23414,1.23616,1.23026,1.23156,70538
2023-03-30,1.23129,1.23928,1.22936,1.23888,69814
2023-03-31,1.23835,1.24232,1.23241,1.2328999999999999,70027
2023-04-03,1.23275,1.24234,1.22744,1.2417799999999999,73419
2023-04-04,1.24081,1.25252,1.23949,1.2500200000000001,73077
2023-04-05,1.25014,1.25145,1.24326,1.24614,67535
2023-04-06,1.24619,1.2487,1.24124,1.24382,53260
2023-04-07,1.24399,1.24559,1.23891,1.24163,36466
2023-04-10,1.24207,1.24428,1.23445,1.23824,49304
2023-04-11,1.23821,1.24566,1.23776,1.24255,61007
2023-04-12,1.2424,1.24952,1.23983,1.24836,65011
2023-04-13,1.24846,1.25375,1.24754,1.25231,63072
2023-04-14,1.25226,1.25468,1.23992,1.24138,66777
2023-04-17,1.24054,1.24383,1.23533,1.2377,61647
2023-04-18,1.23713,1.24499,1.23675,1.24247,56860
2023-04-19,1.24243,1.24745,1.23923,1.24395,61319
2023-04-20,1.24374,1.24676,1.24047,1.24432,60504
2023-04-21,1.2443,1.24482,1.23669,1.24418,59361
2023-04-24,1.24359,1.24862,1.24106,1.24861,62262
2023-04-25,1.24845,1.25073,1.23867,1.24102,58942
2023-04-26,1.24063,1.25156,1.24026,1.24676,70991
2023-04-27,1.24631,1.24997,1.2436,1.24978,67857
2023-04-28,1.24947,1.25842,1.24466,1.25662,79171
2023-05-01,1.2555,1.2570299999999999,1.24806,1.24954,56446
2023-05-02,1.2494399999999999,1.25123,1.24353,1.24675,68876
2023-05-03,1.24648,1.25902,1.246,1.25655,70340
2023-05-04,1.25553,1.2599,1.25481,1.25724,83025
2023-05-05,1.25704,1.26524,1.25583,1.26309,61539
2023-05-08,1.26258,1.26689,1.2612999999999999,1.2618800000000001,47149
2023-05-09,1.2615,1.26397,1.25782,1.26208,54537
2023-05-10,1.26189,1.268,1.26024,1.26247,55386
2023-05-11,1.26243,1.26409,1.24965,1.25121,65463
2023-05-12,1.25104,1.25408,1.24447,1.2448,54111
2023-05-15,1.24526,1.25348,1.2443,1.2528000000000001,45210
2023-05-16,1.2527599999999999,1.2546599999999999,1.24654,1.24852,54680
2023-05-17,1.2489,1.25105,1.24217,1.24868,56076
2023-05-18,1.24863,1.24929,1.23917,1.24082,54531
2023-05-19,1.2408,1.24838,1.2392400000000001,1.24462,63536
2023-05-22,1.24356,1.24723,1.24137,1.24368,57240
2023-05-23,1.24366,1.24465,1.2373,1.24145,62658
2023-05-24,1.24106,1.24695,1.23578,1.2364600000000001,67919
2023-05-25,1.23644,1.23868,1.23081,1.23218,63050
2023-05-26,1.23215,1.23954,1.23109,1.23457,60702
2023-05-29,1.23362,1.2372,1.23334,1.23542,29518
2023-05-30,1.2349700000000001,1.24466,1.23271,1.24121,61835
2023-05-31,1.24101,1.2444,1.2348,1.24409,65444
