entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume,source_file
2023-11-28 16:15:00,1.26587,BUY,0.01,1.263854743452303,1.2699005130953942,VIRTUAL,2023-11-28 18:45:00,1.2699005130953942,TP,4.03051309539415,40.3051309539415,76.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7543561570722365,3.31419504527577,6.393069359567072e-06,1.208009788851364,0.5042950306171856,0,1.0,45,7.5,10.0,9.6,10.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-28 18:45:00,1.2711,BUY,0.01,1.268791165376949,1.275717669246102,VIRTUAL,2023-11-28 19:45:00,1.268791165376949,SL,-2.3088346230508705,-23.088346230508705,77.8,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7583227441648209,2.7525972906495517,0.495508859833406,1.121984867920063,0.920545776859624,0,5.0,45,7.5,10.0,10.8,10.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-28 20:30:00,1.26782,BUY,0.01,1.2658341137323912,1.2717917725352177,VIRTUAL,2023-11-29 03:00:00,1.2717917725352177,TP,3.971772535217522,39.717725352175215,73.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8024803819712221,-0.6349197422024575,0.6978826906508875,0.8304008914535059,1.389828293372247,0,13.0,45,7.5,10.0,8.0,7.0,3.5,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-29 03:15:00,1.27254,BUY,0.01,1.271443763142407,1.274732473715186,VIRTUAL,2023-11-29 04:45:00,1.271443763142407,SL,-1.0962368575930803,-10.962368575930803,72.4,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7199512914786002,0.2269044242782794,0.6601868436829773,0.2893926171273165,-0.7936138627367559,0,55.00000000000001,45,7.5,10.0,2.4,4.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-29 09:45:00,1.26975,BUY,0.01,1.2685285130086743,1.2721929739826503,VIRTUAL,2023-11-29 11:15:00,1.2685285130086743,SL,-1.2214869913254045,-12.214869913254043,82.69999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.792980114071249,-2.0333829797925187,0.2730561065354484,-0.7857810319658449,0.0505627213173158,0,50.0,45,7.5,10.0,13.6,2.1,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-29 21:00:00,1.27256,BUY,0.01,1.2711080424506536,1.2754639150986926,VIRTUAL,2023-11-29 21:30:00,1.2711080424506536,SL,-1.4519575493463497,-14.5195754934635,79.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7283341495187688,2.7986153424530382,7.128226689356865e-06,-1.134110245548296,0.7812828757359109,0,43.0,45,7.5,10.0,9.6,3.0,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-30 06:00:00,1.2702,BUY,0.07,1.269430819856206,1.2717383602875878,REAL,2023-11-30 07:30:00,1.269430819856206,SL,-5.384261006557312,-7.691801437939016,71.92,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7701431411619217,0.2849285451624929,0.0348964874776973,0.2191549313750715,-0.3384626015751864,0,70.0,45,7.5,10.0,1.9200000000000004,4.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-30 09:45:00,1.26938,BUY,0.08,1.2681782360067395,1.271783527986521,REAL,2023-11-30 10:30:00,1.2681782360067395,SL,-9.614111946083526,-12.017639932604409,74.4,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7480191477421141,-0.8103405989788643,0.0050604978946027,0.008609639818373,-0.4284081076163488,0,61.0,45,7.5,10.0,6.4,2.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-11-30 11:45:00,1.2649,BUY,0.1,1.2630567231133187,1.268586553773362,REAL,2023-11-30 15:45:00,1.2630567231133187,SL,-18.43276886681178,-18.432768866811777,75.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7483337694776541,-3.392781190153415,0.1604607783239927,-0.5024482726384389,0.0026213579248817,0,12.0,45,7.5,10.0,16.0,2.1,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-01 03:00:00,1.26484,BUY,0.43,1.26396665970295,1.2665866805940995,REAL,2023-12-01 05:45:00,1.26396665970295,SL,-37.55363277314982,-8.73340297049996,75.82,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7621382110140545,1.983611706201024,0.1206694160102217,-0.627436592579717,0.827737367875526,0,64.0,45,7.5,10.0,6.720000000000001,2.1,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-01 11:30:00,1.26713,BUY,0.55,1.2657707459778769,1.2698485080442463,REAL,2023-12-01 12:30:00,1.2657707459778769,SL,-74.75897121677733,-13.59254022123224,83.18,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8062108228029738,2.083750672144045,0.4250020618702695,0.8261452112257661,0.7599667339027789,0,47.0,45,7.5,10.0,9.18,7.0,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-01 19:00:00,1.26895,BUY,0.61,1.266510192151489,1.273829615697022,REAL,2023-12-04 09:45:00,1.266510192151489,SL,-148.82827875917437,-24.398078485110556,72.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8389109693016851,2.580128839658731,0.0226323250579246,0.7995074010071213,-0.0876051398355359,0,9.0,45,7.5,10.0,9.6,7.0,1.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-04 16:15:00,1.26126,SELL,1.54,1.2631969866587651,1.25738602668247,REAL,2023-12-04 16:45:00,1.2631969866587651,SL,-298.2959454498211,-19.36986658765072,76.6,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8681029877068921,-4.558664416656615,0.2750986367252749,-1.0221195766713556,0.9111861268885312,0,22.0,45,7.5,10.0,9.6,10.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-04 16:45:00,1.26334,SELL,3.01,1.2653238255348056,1.2593723489303883,REAL,2023-12-05 18:15:00,1.2593723489303883,TP,1194.2629719530946,39.6765106961161,70.72,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8396156326323513,-1.8302475626254688,0.3618513318490516,-0.7706160311039852,0.4276442626865506,0,19.0,45,7.5,10.0,6.720000000000001,7.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-06 21:45:00,1.25617,SELL,0.01,1.2573505353229228,1.2538089293541546,VIRTUAL,2023-12-07 09:30:00,1.2573505353229228,SL,-1.1805353229228377,-11.805353229228375,75.16,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.64703587149852,-1.923760732450108,0.5793326392400299,0.1884467821713003,0.3684832915357003,0,51.0,45,7.5,10.0,7.560000000000001,0.6,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2023-12-07 09:30:00,1.25793,SELL,0.01,1.2589591057381786,1.255871788523643,VIRTUAL,2023-12-07 12:00:00,1.2589591057381786,SL,-1.029105738178604,-10.29105738178604,87.5,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6344901583206168,4.463237380117717,0.09669434505963,1.6294914747931244,2.394627730697961,0,55.00000000000001,45,7.5,10.0,16.0,3.0,3.5,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
