entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,1000,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume
11/28/2023 16:15,1.26587,BUY,0.01,1.263854743,1.269900513,VIRTUAL,11/28/2023 18:45,1.269900513,TP,4.030513095,,40.30513095,79.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.754356157,3.314195045,6.39E-06,1.208009789,0.504295031,0,1,50,7.5,0,12,10,0,0,0,0,0,0,0
11/28/2023 18:45,1.2711,BUY,0.01,1.268791165,1.275717669,VIRTUAL,11/28/2023 19:45,1.268791165,SL,-2.308834623,,-23.08834623,81,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.758322744,2.752597291,0.49550886,1.121984868,0.920545777,0,5,50,7.5,0,13.5,10,0,0,0,0,0,0,0
11/28/2023 19:45,1.26924,BUY,0.01,1.267231977,1.273256046,VIRTUAL,11/29/2023 3:15,1.273256046,TP,4.016045656,,40.16045656,70.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.777071893,0.567932619,0.645157468,0.646641834,0.779898006,0,10,50,7.5,0,6,7,0,0,0,0,0,0,0
11/29/2023 9:45,1.26975,BUY,0.01,1.268528513,1.272192974,VIRTUAL,11/29/2023 11:15,1.268528513,SL,-1.221486991,,-12.21486991,76.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.792980114,-2.03338298,0.273056107,-0.785781032,0.050562721,0,50,50,7.5,0,17,2.1,0,0,0,0,0,0,0
11/29/2023 21:00,1.27256,BUY,0.01,1.271108042,1.275463915,VIRTUAL,11/29/2023 21:30,1.271108042,SL,-1.451957549,,-14.51957549,72.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.72833415,2.798615342,7.13E-06,-1.134110246,0.781282876,0,43,50,7.5,0,12,3,0,0,0,0,0,0,0
11/30/2023 11:45,1.2649,BUY,0.01,1.263056723,1.268586554,VIRTUAL,11/30/2023 15:45,1.263056723,SL,-1.843276887,,-18.43276887,79.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.748333769,-3.39278119,0.160460778,-0.502448273,0.002621358,0,12,50,7.5,0,20,2.1,0,0,0,0,0,0,0
12/1/2023 11:30,1.26713,BUY,0.04,1.265770746,1.269848508,REAL,12/1/2023 12:30,1.265770746,SL,-5.437016088,,-13.59254022,75.975,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.806210823,2.083750672,0.425002062,0.826145211,0.759966734,0,47,50,7.5,0,11.475,7,0,0,0,0,0,0,0
12/1/2023 19:00,1.26895,BUY,0.04,1.266510192,1.273829616,REAL,12/4/2023 9:45,1.266510192,SL,-9.759231394,,-24.39807849,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.838910969,2.58012884,0.022632325,0.799507401,-0.08760514,0,9,50,7.5,0,12,7,0,0,0,0,0,0,0
12/4/2023 16:15,1.26126,SELL,0.1,1.263196987,1.257386027,REAL,12/4/2023 16:45,1.263196987,SL,-19.36986659,,-19.36986659,79.5,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.868102988,-4.558664417,0.275098637,-1.022119577,0.911186127,0,22,50,7.5,0,12,10,0,0,0,0,0,0,0
12/4/2023 16:45,1.26334,SELL,0.2,1.265323826,1.259372349,REAL,12/5/2023 18:15,1.259372349,TP,79.35302139,,39.6765107,72.9,HIGH,BEARISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.839615633,-1.830247563,0.361851332,-0.770616031,0.427644263,0,19,50,7.5,0,8.4,7,0,0,0,0,0,0,0
