time,open,high,low,close,volume
2024-10-28,1.29708,1.30015,1.29399,1.29697,65854
2024-10-29,1.29727,1.30148,1.29582,1.3014299999999999,73675
2024-10-30,1.3012299999999999,1.30434,1.29371,1.29623,87365
2024-10-31,1.29569,1.2999800000000001,1.28438,1.28992,92645
2024-11-01,1.28949,1.29805,1.28846,1.29195,79268
2024-11-04,1.2966,1.2999,1.29343,1.29563,84461
2024-11-05,1.2955999999999999,1.30424,1.29477,1.30416,59691
2024-11-06,1.30343,1.3048,1.28342,1.2879,161275
2024-11-07,1.28724,1.30093,1.28717,1.29871,97940
2024-11-08,1.29843,1.2989,1.2883499999999999,1.29196,82352
2024-11-11,1.2908,1.29258,1.2856,1.28693,65321
2024-11-12,1.28622,1.28735,1.27191,1.27472,87027
2024-11-13,1.2747600000000001,1.27694,1.26864,1.2708,115713
2024-11-14,1.27034,1.2720099999999999,1.26299,1.26663,128145
2024-11-15,1.2659,1.26971,1.25972,1.26184,128639
2024-11-18,1.26163,1.2686600000000001,1.26048,1.26772,101020
2024-11-19,1.26714,1.26894,1.26133,1.26827,113993
2024-11-20,1.26724,1.2714699999999999,1.26309,1.26528,97943
2024-11-21,1.26482,1.26603,1.25763,1.25892,108221
2024-11-22,1.25892,1.25942,1.24872,1.2533,129112
2024-11-25,1.2591999999999999,1.26135,1.25416,1.25682,117641
2024-11-26,1.2564600000000001,1.26165,1.2507,1.25689,141197
2024-11-27,1.25691,1.26945,1.25665,1.26791,119783
2024-11-28,1.26728,1.26911,1.26451,1.26863,74243
2024-11-29,1.26848,1.27497,1.2671700000000001,1.27328,115702
2024-12-02,1.27189,1.27339,1.2617099999999999,1.26539,134821
2024-12-03,1.2649599999999999,1.26997,1.26365,1.26725,107709
2024-12-04,1.2666,1.27214,1.26298,1.26999,116815
2024-12-05,1.27008,1.27709,1.26928,1.2760500000000001,90859
2024-12-06,1.27521,1.28111,1.27211,1.27416,102380
2024-12-09,1.27306,1.27989,1.2717100000000001,1.2751000000000001,86983
2024-12-10,1.27413,1.2778,1.2723900000000001,1.27719,90009
2024-12-11,1.27673,1.27817,1.27131,1.27505,107190
2024-12-12,1.27502,1.2787899999999999,1.26667,1.26735,112794
2024-12-13,1.26724,1.26793,1.26082,1.2619500000000001,89702
2024-12-16,1.26112,1.26989,1.26081,1.2683,80807
2024-12-17,1.26818,1.27286,1.2666,1.27126,86633
2024-12-18,1.27014,1.27241,1.25622,1.25723,113426
2024-12-19,1.25678,1.26668,1.24951,1.25006,137406
2024-12-20,1.2499500000000001,1.26141,1.24753,1.25672,113088
2024-12-23,1.25607,1.2588300000000001,1.25099,1.25356,78037
2024-12-24,1.25265,1.25747,1.25187,1.2539,57095
2024-12-26,1.25488,1.2551999999999999,1.25011,1.25267,57297
2024-12-27,1.25196,1.25926,1.2505,1.25721,77463
2024-12-30,1.25722,1.26071,1.2506300000000001,1.25515,78136
2024-12-31,1.25411,1.25692,1.25054,1.25119,82056
2025-01-02,1.25125,1.2540499999999999,1.23521,1.23805,101223
2025-01-03,1.23713,1.24341,1.23658,1.24219,76773
2025-01-06,1.2418,1.25511,1.2410700000000001,1.25199,114356
2025-01-07,1.25144,1.25759,1.2477,1.2477,101458
2025-01-08,1.2472,1.24942,1.23207,1.23631,111533
2025-01-09,1.23603,1.23662,1.22383,1.23071,95788
2025-01-10,1.23035,1.2322,1.21912,1.22064,123916
2025-01-13,1.22016,1.22103,1.20995,1.2203,120319
2025-01-14,1.21981,1.22504,1.21371,1.22155,123933
2025-01-15,1.22102,1.23062,1.21604,1.22434,108170
2025-01-16,1.22343,1.22604,1.21747,1.22378,118272
2025-01-17,1.22362,1.22442,1.21605,1.21695,98624
2025-01-20,1.21656,1.23445,1.21607,1.2327,108645
2025-01-21,1.23203,1.23601,1.22292,1.23537,135001
2025-01-22,1.23468,1.23762,1.2307299999999999,1.23159,104751
2025-01-23,1.23104,1.23757,1.22934,1.23521,87239
2025-01-24,1.23513,1.25019,1.23467,1.24815,84566
2025-01-27,1.24664,1.25233,1.24259,1.24993,94091
2025-01-28,1.24898,1.24978,1.24145,1.24421,83947
2025-01-29,1.24399,1.24633,1.23932,1.24491,91723
2025-01-30,1.24462,1.24769,1.24077,1.2416800000000001,83480
2025-01-31,1.2413,1.24718,1.23861,1.23879,95864
2025-02-03,1.2282,1.24546,1.22496,1.24494,141220
2025-02-04,1.24492,1.24932,1.23793,1.24809,88937
2025-02-05,1.2478,1.255,1.24633,1.25039,77544
2025-02-06,1.25037,1.25098,1.23604,1.24345,75522
2025-02-07,1.24321,1.24921,1.23759,1.24005,82843
2025-02-10,1.23702,1.24224,1.23631,1.23663,67382
2025-02-11,1.23664,1.24548,1.23326,1.24466,62861
2025-02-12,1.24455,1.24838,1.23754,1.24432,85654
2025-02-13,1.24433,1.2568,1.2436,1.25659,92448
2025-02-14,1.25566,1.26305,1.25487,1.2585600000000001,71586
2025-02-17,1.25698,1.26349,1.25698,1.26254,56199
2025-02-18,1.2623,1.26244,1.25824,1.26135,68454
2025-02-19,1.26122,1.26387,1.25631,1.25852,78257
2025-02-20,1.25847,1.26715,1.25762,1.2669000000000001,80674
2025-02-21,1.26684,1.26787,1.2625,1.26314,83112
2025-02-24,1.2628300000000001,1.26908,1.2612,1.26244,88699
2025-02-25,1.26238,1.26776,1.26059,1.26662,91379
2025-02-26,1.26626,1.27159,1.2635399999999999,1.26767,85462
2025-02-27,1.26726,1.26887,1.2597800000000001,1.26006,90788
2025-02-28,1.2598500000000001,1.26219,1.25593,1.2577,91788
2025-03-03,1.2581,1.27245,1.25594,1.27011,102676
2025-03-04,1.27002,1.27997,1.26788,1.2795,118719
2025-03-05,1.27946,1.29009,1.27677,1.2895699999999999,122397
2025-03-06,1.28931,1.29239,1.28658,1.28815,122066
2025-03-07,1.28757,1.29448,1.28722,1.29214,106706
2025-03-10,1.29166,1.29466,1.28616,1.28781,101320
2025-03-11,1.28728,1.29657,1.28726,1.29497,106829
2025-03-12,1.29458,1.29871,1.29134,1.29626,90525
2025-03-13,1.29574,1.29736,1.2921,1.29505,83305
2025-03-14,1.2944,1.29588,1.2911000000000001,1.29363,87200
2025-03-17,1.2920099999999999,1.29988,1.29168,1.29901,64925
2025-03-18,1.29878,1.30098,1.29514,1.30012,69839
2025-03-19,1.30007,1.30112,1.2955,1.30031,72575
2025-03-20,1.29961,1.30151,1.2936,1.29664,68447
2025-03-21,1.29653,1.29706,1.28879,1.29119,65073
2025-03-24,1.2896,1.29743,1.28876,1.2922500000000001,74401
2025-03-25,1.2917399999999999,1.29668,1.2901799999999999,1.2944499999999999,63411
2025-03-26,1.29433,1.29495,1.28744,1.28881,65579
2025-03-27,1.2889,1.29921,1.28709,1.29489,63395
2025-03-28,1.29481,1.29683,1.2922500000000001,1.29421,55662
2025-03-31,1.29129,1.29727,1.28864,1.2916400000000001,66028
2025-04-01,1.29178,1.29407,1.2879399999999999,1.2923,65043
2025-04-02,1.29204,1.30248,1.29004,1.30102,65780
2025-04-03,1.29975,1.3207200000000001,1.29725,1.31009,133420
2025-04-04,1.30992,1.31137,1.28532,1.28922,161160
2025-04-07,1.28118,1.29339,1.2708,1.2723,190045
2025-04-08,1.27153,1.2814999999999999,1.27148,1.2765,135066
2025-04-09,1.27653,1.28641,1.27432,1.28248,173408
2025-04-10,1.28084,1.2995999999999999,1.28007,1.29697,138711
2025-04-11,1.29614,1.31451,1.29614,1.3078699999999999,164208
2025-04-14,1.30942,1.32012,1.3063,1.319,103674
2025-04-15,1.31891,1.3252,1.31639,1.3231,79494
2025-04-16,1.32297,1.32922,1.3212,1.32402,85022
2025-04-17,1.32398,1.32732,1.32028,1.32678,78164
2025-04-18,1.32648,1.32989,1.3245,1.32948,299027
2025-04-21,1.32721,1.3422100000000001,1.32681,1.33795,71593
2025-04-22,1.33775,1.34239,1.3326,1.33316,81637
2025-04-23,1.3328,1.33391,1.32336,1.32532,100483
2025-04-24,1.32508,1.3348900000000001,1.3243800000000001,1.33384,63209
2025-04-25,1.33369,1.3339699999999999,1.32739,1.33099,60232
2025-04-28,1.32806,1.3444,1.328,1.34425,61216
2025-04-29,1.3431899999999999,1.34435,1.33803,1.3406799999999999,60513
2025-04-30,1.34036,1.34149,1.33091,1.33304,72292
2025-05-01,1.33258,1.3345500000000001,1.3260399999999999,1.32779,66209
2025-05-02,1.32714,1.33308,1.3259400000000001,1.32709,78500
2025-05-05,1.3259400000000001,1.33365,1.32566,1.32966,63453
2025-05-06,1.32957,1.34028,1.32602,1.33685,68283
2025-05-07,1.33599,1.33782,1.32801,1.3290899999999999,77613
2025-05-08,1.3287200000000001,1.33563,1.32365,1.3244799999999999,81360
2025-05-09,1.3244799999999999,1.33227,1.32121,1.33006,58426
2025-05-12,1.3255,1.32993,1.314,1.31761,84945
2025-05-13,1.31746,1.33161,1.31668,1.33039,69505
2025-05-14,1.33034,1.3360400000000001,1.32534,1.3259699999999999,77298
2025-05-15,1.32528,1.33199,1.32523,1.33041,71262
2025-05-16,1.32998,1.33328,1.32507,1.3283,64450
2025-05-19,1.32641,1.3404,1.32615,1.3361,73377
2025-05-20,1.33563,1.3395000000000001,1.33349,1.33932,71325
2025-05-21,1.33924,1.34691,1.33778,1.3419400000000001,80908
2025-05-22,1.34177,1.3441100000000001,1.3390900000000001,1.34179,77602
2025-05-23,1.34186,1.35394,1.34081,1.35375,71095
2025-05-26,1.35209,1.35934,1.35209,1.3563100000000001,48918
2025-05-27,1.35589,1.35869,1.35004,1.3507,65539
2025-05-28,1.3502399999999999,1.35226,1.34501,1.34697,66677
2025-05-29,1.34639,1.35072,1.3415599999999999,1.34913,79866
2025-05-30,1.34866,1.3511199999999999,1.3448,1.3455,73935
2025-06-02,1.34628,1.35598,1.34479,1.35439,68778
2025-06-03,1.35392,1.35595,1.3492,1.35181,63774
2025-06-04,1.35155,1.35801,1.3501,1.35529,66076
2025-06-05,1.3549,1.36168,1.35408,1.35698,71153
2025-06-06,1.3568,1.35847,1.35077,1.3526099999999999,68367
2025-06-09,1.35203,1.35815,1.35162,1.3550200000000001,48780
2025-06-10,1.3545099999999999,1.35644,1.34564,1.34978,64102
2025-06-11,1.3497,1.35673,1.34644,1.35474,65948
2025-06-12,1.3541,1.36235,1.35228,1.3612600000000001,75441
2025-06-13,1.36102,1.36327,1.35164,1.35736,85974
2025-06-16,1.35614,1.36224,1.35344,1.35764,76418
2025-06-17,1.35835,1.35835,1.34154,1.3428200000000001,82969
