entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_hurst,weight_skewness,weight_kurtosis,weight_obv_div,weight_regime,weight_vwap,weight_obv,weight_volume
2025-04-29 13:45:00,1.33825,SELL,0.01,1.3395169200946784,1.335716159810643,VIRTUAL,2025-04-29 15:15:00,1.3395169200946784,SL,-1.2669200946784365,-12.669200946784365,75.60000000000001,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-04-29 16:00:00,1.34066,BUY,0.01,1.3391719316064645,1.3436361367870706,VIRTUAL,2025-04-29 17:45:00,1.3391719316064645,SL,-1.4880683935354355,-14.880683935354355,78.56,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-04-30 12:00:00,1.33714,SELL,0.01,1.3385461197897346,1.3343277604205308,VIRTUAL,2025-04-30 16:00:00,1.3343277604205308,TP,2.812239579469189,28.12239579469189,70.6,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-04-30 16:30:00,1.3331,SELL,0.01,1.3349387562541744,1.3294224874916512,VIRTUAL,2025-04-30 17:45:00,1.3349387562541744,SL,-1.8387562541744007,-18.387562541744007,70.2,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-04-30 17:45:00,1.33556,SELL,0.01,1.3378405748225597,1.3309988503548809,VIRTUAL,2025-05-01 04:30:00,1.3309988503548809,TP,4.561149645119222,45.611496451192224,75.5,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-01 06:15:00,1.33021,SELL,0.01,1.3311697994175964,1.3282904011648067,VIRTUAL,2025-05-01 08:15:00,1.3282904011648067,TP,1.9195988351932147,19.195988351932147,71.26,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-01 08:15:00,1.32805,SELL,0.01,1.3291577415170697,1.3258345169658605,VIRTUAL,2025-05-01 09:00:00,1.3291577415170697,SL,-1.1077415170697158,-11.077415170697158,79.8,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-01 09:00:00,1.32956,SELL,0.01,1.3307670275890378,1.3271459448219247,VIRTUAL,2025-05-01 11:00:00,1.3307670275890378,SL,-1.2070275890376791,-12.070275890376791,76.8,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-01 11:15:00,1.33285,SELL,0.01,1.3346492009497968,1.3292515981004067,VIRTUAL,2025-05-01 17:30:00,1.3292515981004067,TP,3.598401899593373,35.98401899593373,77.2,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-01 21:00:00,1.32739,SELL,0.01,1.3289720061547634,1.3242259876904732,VIRTUAL,2025-05-02 03:00:00,1.3289720061547634,SL,-1.582006154763338,-15.82006154763338,73.84,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-02 06:15:00,1.3302,SELL,0.01,1.3312474509219019,1.3281050981561964,VIRTUAL,2025-05-02 07:15:00,1.3312474509219019,SL,-1.047450921901838,-10.47450921901838,79.3,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-02 07:15:00,1.3311,SELL,0.01,1.332195500558626,1.328908998882748,VIRTUAL,2025-05-02 08:45:00,1.332195500558626,SL,-1.0955005586259503,-10.955005586259503,84.2,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
2025-05-02 09:15:00,1.33184,SELL,0.01,1.333010503000858,1.3294989939982835,VIRTUAL,2025-05-02 11:00:00,1.3294989939982835,TP,2.3410060017163836,23.410060017163836,77.6,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,10,10,5,5,-10,0,0,0
