entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume
2023-11-28 20:30:00,1.26782,BUY,0.01,1.2658341137323912,1.2717917725352175,VIRTUAL,2023-11-29 03:00:00,1.2717917725352175,TP,3.971772535217522,39.717725352175215,74.5,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.8024803819712221,-0.6349197422024575,0.6978826906508875,0.8304008914535059,1.389828293372247,0,13.0,50,7.5,0.0,10.0,7.0,0.0,0.0,0,0,0,0,0
2023-11-29 09:45:00,1.26975,BUY,0.01,1.2685285130086745,1.2721929739826505,VIRTUAL,2023-11-29 11:15:00,1.2685285130086745,SL,-1.2214869913254045,-12.214869913254045,76.6,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.792980114071249,-2.0333829797925187,0.27305610653544843,-0.7857810319658449,0.05056272131731587,0,50.0,50,7.5,0.0,17.0,2.1,0.0,0.0,0,0,0,0,0
2023-11-30 12:00:00,1.26426,SELL,0.01,1.2661215066351235,1.2605369867297527,VIRTUAL,2023-11-30 15:00:00,1.2661215066351235,SL,-1.861506635123522,-18.61506635123522,73.5,HIGH,BEARISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.7385574008053779,-3.2235857189715182,0.20647657598207958,-0.3631340852892319,-0.04629112186435114,0,12.0,50,7.5,0.0,12.0,4.0,0.0,0.0,0,0,0,0,0
2023-11-30 17:00:00,1.26378,SELL,0.01,1.2665574341093437,1.2582251317813125,VIRTUAL,2023-12-01 11:30:00,1.2665574341093437,SL,-2.777434109343835,-27.77434109343835,75.5,HIGH,BEARISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.7688261644372464,0.9194684816000823,0.8229009209950051,-0.6755040587873895,-0.3284999400049591,0,1.0,50,7.5,0.0,11.0,7.0,0.0,0.0,0,0,0,0,0
2023-12-01 11:30:00,1.26713,SELL,0.04,1.2684892540221233,1.2644114919557539,REAL,2023-12-01 12:30:00,1.2644114919557539,TP,10.874032176984905,27.18508044246226,78.725,HIGH,BEARISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.8062108228029738,2.0837506721440455,0.42500206187026957,0.8261452112257661,0.7599667339027789,0,47.0,50,7.5,0.0,19.125,2.1,0.0,0.0,0,0,0,0,0
2023-12-01 20:00:00,1.27081,BUY,0.01,1.2686992738378011,1.275031452324398,VIRTUAL,2023-12-04 00:00:00,1.2686992738378011,SL,-2.1107261621988727,-21.107261621988727,74.7,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.8120815219811116,2.410742644314336,0.1353221493859431,0.6037095404978875,-0.5241657220604412,0,7.000000000000001,50,7.5,0.0,10.200000000000001,7.0,0.0,0.0,0,0,0,0,0
2023-12-07 01:30:00,1.25597,SELL,0.01,1.2566370110930838,1.2546359778138323,VIRTUAL,2023-12-07 06:45:00,1.2546359778138323,TP,1.3340221861677382,13.340221861677382,71.5,HIGH,BEARISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.6299935930566187,0.5862036015903821,0.736081103284189,-0.35765728348846104,0.2901055671664401,0,97.0,50,7.5,0.0,10.0,4.0,0.0,0.0,0,0,0,0,0
2023-12-14 00:00:00,1.26181,BUY,0.01,1.2599756137070217,1.265478772585957,VIRTUAL,2023-12-14 11:00:00,1.265478772585957,TP,3.668772585956992,36.687725859569916,72.9,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.7774909047225911,0.6678463560061586,0.49162559555269447,2.8342862984771133,7.435985566070974,0,7.000000000000001,50,7.5,0.0,5.4,10.0,0.0,0.0,0,0,0,0,0
2023-12-14 14:00:00,1.2701,BUY,0.01,1.2675792577841447,1.2751414844317104,VIRTUAL,2023-12-14 16:45:00,1.2751414844317104,TP,5.041484431710375,50.41484431710374,79.5,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.8383084445262138,3.215815852569775,0.36849136402907856,1.6358234021070641,3.431285827166117,0,13.0,50,7.5,0.0,12.0,10.0,0.0,0.0,0,0,0,0,0
2023-12-15 15:30:00,1.27106,BUY,0.01,1.2684808349900767,1.276218330019847,VIRTUAL,2023-12-15 20:15:00,1.2684808349900767,SL,-2.57916500992339,-25.791650099233898,79.6,HIGH,BULLISH_BIAS,M15,H4,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,50,15,0,25,10,0,0,0,0,0,0,0,0.7756535851615655,-4.006875467293986,0.005804005729118322,-0.5095582480301801,0.9914399160208878,0,27.0,50,7.5,0.0,20.0,2.1,0.0,0.0,0,0,0,0,0
