entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias
4/29/2025 16:00,1.34066,BUY,0.1,1.339171932,1.343636137,VIRTUAL,4/29/2025 17:45,1.339171932,SL,-15.58068394,-14.88068394,80.5,HIGH,BULLISH_BIAS
4/30/2025 12:00,1.33714,SELL,0.1,1.33854612,1.33432776,VIRTUAL,4/30/2025 16:00,1.33432776,TP,27.42239579,28.12239579,89.5,HIGH,BEARISH_BIAS
4/30/2025 16:00,1.33461,SELL,0.1,1.336312309,1.331205383,VIRTUAL,4/30/2025 17:00,1.331205383,TP,33.34617245,34.04617245,89.5,HIGH,BEARISH_BIAS
4/30/2025 17:00,1.33235,SELL,0.1,1.33435751,1.328334979,VIRTUAL,4/30/2025 17:45,1.33435751,SL,-20.77510253,-20.07510253,95.5,HIGH,BEARISH_BIAS
4/30/2025 17:45,1.33556,SELL,0.1,1.337840575,1.33099885,VIRTUAL,5/1/2025 4:30,1.33099885,TP,44.91149645,45.61149645,80.5,HIGH,BEARISH_BIAS
5/1/2025 4:30,1.33099,SELL,0.1,1.331783995,1.329402009,VIRTUAL,5/1/2025 6:30,1.329402009,TP,15.17990603,15.87990603,89.5,HIGH,BEARISH_BIAS
5/1/2025 6:30,1.3295,SELL,0.1,1.330509826,1.327480348,VIRTUAL,5/1/2025 10:15,1.327480348,TP,19.49652324,20.19652324,89.5,HIGH,BEARISH_BIAS
5/1/2025 10:15,1.3287,SELL,0.1,1.330220433,1.325659135,VIRTUAL,5/1/2025 10:30,1.330220433,SL,-15.90432691,-15.20432691,89.5,HIGH,BEARISH_BIAS
5/1/2025 10:30,1.33034,SELL,0.1,1.332021708,1.326976583,VIRTUAL,5/1/2025 11:00,1.332021708,SL,-17.51708332,-16.81708332,89.5,HIGH,BEARISH_BIAS
5/1/2025 11:00,1.33153,SELL,0.1,1.333220616,1.328148767,VIRTUAL,5/1/2025 11:45,1.333220616,SL,-17.60616481,-16.90616481,74.5,HIGH,BEARISH_BIAS
5/1/2025 11:45,1.3325,SELL,0.1,1.334127666,1.329244667,REAL,5/1/2025 14:15,1.334127666,SL,-16.97666491,-16.27666491,70,HIGH,BEARISH_BIAS
5/1/2025 14:15,1.33412,SELL,0.13,1.335492167,1.331375666,REAL,5/1/2025 16:00,1.331375666,TP,34.76634609,27.44334315,70,HIGH,BEARISH_BIAS
5/1/2025 16:00,1.33207,SELL,0.1,1.333776954,1.328656092,VIRTUAL,5/1/2025 17:45,1.328656092,TP,33.43907802,34.13907802,89.5,HIGH,BEARISH_BIAS
5/1/2025 17:45,1.32955,SELL,0.1,1.331493605,1.325662789,VIRTUAL,5/2/2025 8:15,1.331493605,SL,-20.13605397,-19.43605397,95.5,HIGH,BEARISH_BIAS
5/2/2025 8:15,1.33171,SELL,0.1,1.332738762,1.329652476,VIRTUAL,5/2/2025 11:00,1.329652476,TP,19.87524206,20.57524206,70,HIGH,BEARISH_BIAS
5/2/2025 11:00,1.32868,SELL,0.1,1.330226568,1.325586864,VIRTUAL,5/2/2025 12:30,1.330226568,SL,-16.16568031,-15.46568031,89.5,HIGH,BEARISH_BIAS
5/2/2025 12:30,1.33102,SELL,0.1,1.332558941,1.327942119,VIRTUAL,5/2/2025 15:30,1.327942119,TP,30.0788142,30.7788142,74.5,HIGH,BEARISH_BIAS
5/2/2025 15:30,1.32885,SELL,0.1,1.330736409,1.325077182,VIRTUAL,5/2/2025 16:15,1.330736409,SL,-19.5640916,-18.8640916,100,HIGH,BEARISH_BIAS
