entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias
2025-05-02 23:00:00,1.32709,SELL,0.01,1.3303546695906288,1.3205606608187428,VIRTUAL,2025-05-05 08:00:00,1.3303546695906288,SL,-3.2646695906286545,-32.646695906286546,85.0,HIGH,BEARISH_BIAS
2025-05-05 18:00:00,1.32818,SELL,0.01,1.3311810058074638,1.3221779883850722,VIRTUAL,2025-05-06 10:00:00,1.3311810058074638,SL,-3.0010058074638746,-30.010058074638746,85.0,HIGH,BEARISH_BIAS
2025-05-06 14:00:00,1.33698,BUY,0.01,1.3339033134611442,1.343133373077712,VIRTUAL,2025-05-07 03:00:00,1.3339033134611442,SL,-3.076686538855844,-30.76686538855844,89.5,HIGH,BULLISH_BIAS
2025-05-08 06:00:00,1.33449,BUY,0.01,1.3312697488058627,1.3409305023882743,REAL,2025-05-08 08:00:00,1.3312697488058627,SL,-3.220251194137269,-32.20251194137269,85.0,HIGH,BULLISH_BIAS
2025-05-08 08:00:00,1.33218,SELL,0.013000000000000001,1.3355043664524853,1.3255312670950294,REAL,2025-05-08 14:00:00,1.3255312670950294,TP,8.643352776461622,66.48732904970478,85.0,HIGH,BEARISH_BIAS
2025-05-08 16:00:00,1.33355,BUY,0.01,1.3287595915757138,1.3431308168485723,VIRTUAL,2025-05-08 18:00:00,1.3287595915757138,SL,-4.790408424286241,-47.90408424286241,89.5,HIGH,BULLISH_BIAS
2025-05-08 19:00:00,1.32659,SELL,0.01,1.3315315606838982,1.3167068786322034,VIRTUAL,2025-05-09 17:00:00,1.3315315606838982,SL,-4.941560683898283,-49.415606838982825,89.5,HIGH,BEARISH_BIAS
2025-05-12 11:00:00,1.31944,SELL,0.01,1.3243949867856266,1.3095300264287466,VIRTUAL,2025-05-13 15:00:00,1.3243949867856266,SL,-4.954986785626669,-49.549867856266694,100.0,HIGH,BEARISH_BIAS
2025-05-13 16:00:00,1.32267,BUY,0.01,1.3198360062491932,1.3283379875016137,REAL,2025-05-13 19:00:00,1.3283379875016137,TP,5.6679875016136805,56.679875016136805,80.0,HIGH,BULLISH_BIAS
2025-05-14 01:00:00,1.33141,BUY,0.01,1.3292000793791194,1.335829841241761,VIRTUAL,2025-05-14 09:00:00,1.3292000793791194,SL,-2.2099206208805455,-22.099206208805455,85.0,HIGH,BULLISH_BIAS
2025-05-14 10:00:00,1.33289,BUY,0.01,1.33047488275925,1.3377202344814993,VIRTUAL,2025-05-14 17:00:00,1.33047488275925,SL,-2.415117240749831,-24.15117240749831,80.5,HIGH,BULLISH_BIAS
2025-05-19 10:00:00,1.33678,BUY,0.01,1.3336039028666924,1.3431321942666155,VIRTUAL,2025-05-20 15:00:00,1.3336039028666924,SL,-3.1760971333076875,-31.76097133307687,95.5,HIGH,BULLISH_BIAS
2025-05-20 16:00:00,1.3357,BUY,0.01,1.3327901104724864,1.3415197790550275,REAL,2025-05-21 05:00:00,1.3415197790550275,TP,5.8197790550273965,58.197790550273965,80.5,HIGH,BULLISH_BIAS
