time,open,high,low,close,volume
2022-10-27 12:00:00,1.15902,1.15958,1.15489,1.1578,28810
2022-10-27 16:00:00,1.15791,1.16345,1.15568,1.15734,35052
2022-10-27 20:00:00,1.15735,1.16017,1.1558,1.1561,16924
2022-10-28 00:00:00,1.15574,1.15741,1.15446,1.15524,11442
2022-10-28 04:00:00,1.15527,1.15946,1.15477,1.15719,22052
2022-10-28 08:00:00,1.1572,1.1573,1.15039,1.15273,27298
2022-10-28 12:00:00,1.15289,1.1575,1.15129,1.15389,24684
2022-10-28 16:00:00,1.15392,1.16,1.15339,1.15889,28739
2022-10-28 20:00:00,1.1589,1.16236,1.15833,1.1612,11580
2022-10-31 00:00:00,1.15714,1.16133,1.15684,1.16072,9816
2022-10-31 04:00:00,1.16072,1.16119,1.15857,1.15971,13719
2022-10-31 08:00:00,1.15971,1.16073,1.15424,1.15466,19149
2022-10-31 12:00:00,1.15466,1.15669,1.15021,1.15061,22450
2022-10-31 16:00:00,1.1506,1.15283,1.14758,1.14867,26828
2022-10-31 20:00:00,1.14863,1.14902,1.146,1.14657,13712
2022-11-01 00:00:00,1.14788,1.14938,1.14601,1.14806,7239
2022-11-01 04:00:00,1.14805,1.15157,1.14737,1.15058,17903
2022-11-01 08:00:00,1.15059,1.155,1.15015,1.1529,21537
2022-11-01 12:00:00,1.15294,1.15662,1.15128,1.15507,22223
2022-11-01 16:00:00,1.1550799999999999,1.15602,1.14371,1.1449799999999999,31040
2022-11-01 20:00:00,1.14496,1.14862,1.14408,1.14814,13665
2022-11-02 00:00:00,1.14775,1.1507,1.14746,1.15062,13313
2022-11-02 04:00:00,1.15062,1.1527,1.14965,1.15048,18557
2022-11-02 08:00:00,1.15048,1.15242,1.14846,1.15112,19151
2022-11-02 12:00:00,1.1511,1.15173,1.14846,1.15084,21455
2022-11-02 16:00:00,1.15085,1.15158,1.14495,1.14615,22545
2022-11-02 20:00:00,1.14615,1.15645,1.13878,1.13895,29154
2022-11-03 00:00:00,1.13891,1.14024,1.1375,1.13935,8948
2022-11-03 04:00:00,1.13934,1.14218,1.13906,1.14171,14563
2022-11-03 08:00:00,1.14171,1.14184,1.12511,1.12583,20961
2022-11-03 12:00:00,1.12583,1.12788,1.1161699999999999,1.11633,27865
2022-11-03 16:00:00,1.11632,1.12302,1.11566,1.11836,30625
2022-11-03 20:00:00,1.11836,1.11888,1.11515,1.11574,15176
2022-11-04 00:00:00,1.11543,1.11886,1.1149499999999999,1.11837,9801
2022-11-04 04:00:00,1.1184,1.12394,1.11764,1.12339,16914
2022-11-04 08:00:00,1.1234,1.12424,1.1191200000000001,1.12221,22701
2022-11-04 12:00:00,1.12223,1.12755,1.11467,1.12673,27088
2022-11-04 16:00:00,1.12672,1.13373,1.12326,1.1296,37169
2022-11-04 20:00:00,1.12961,1.13821,1.12936,1.13729,20327
2022-11-07 00:00:00,1.13045,1.13436,1.13033,1.1326,14324
2022-11-07 04:00:00,1.1326,1.13499,1.13182,1.13354,14457
2022-11-07 08:00:00,1.13348,1.14705,1.12902,1.14412,25488
2022-11-07 12:00:00,1.14413,1.14774,1.14264,1.147,24140
2022-11-07 16:00:00,1.14703,1.15183,1.1441,1.15176,26155
2022-11-07 20:00:00,1.15176,1.15416,1.1509800000000001,1.1513,11269
2022-11-08 00:00:00,1.1513200000000001,1.15365,1.15051,1.1515,10008
2022-11-08 04:00:00,1.1515,1.15186,1.148,1.14866,10829
2022-11-08 08:00:00,1.1486399999999999,1.1497600000000001,1.14439,1.1491500000000001,22091
2022-11-08 12:00:00,1.1491500000000001,1.14931,1.14297,1.14459,20509
2022-11-08 16:00:00,1.14456,1.15993,1.14446,1.1578,25557
2022-11-08 20:00:00,1.1578,1.15856,1.15128,1.15439,16045
2022-11-09 00:00:00,1.15361,1.15582,1.15228,1.15298,11871
2022-11-09 04:00:00,1.15304,1.15595,1.15302,1.15348,17427
2022-11-09 08:00:00,1.15357,1.15673,1.1437,1.14511,26265
2022-11-09 12:00:00,1.1452,1.14762,1.14053,1.14104,26587
2022-11-09 16:00:00,1.14103,1.14397,1.13556,1.1379,30191
2022-11-09 20:00:00,1.13792,1.13851,1.13338,1.13575,17835
2022-11-10 00:00:00,1.13569,1.13922,1.13499,1.1387,12010
2022-11-10 04:00:00,1.1387,1.14118,1.13726,1.14071,18030
2022-11-10 08:00:00,1.14075,1.14128,1.13632,1.13667,24479
2022-11-10 12:00:00,1.13666,1.16536,1.13659,1.16078,26709
2022-11-10 16:00:00,1.1609,1.16864,1.15937,1.16442,37436
2022-11-10 20:00:00,1.16458,1.17316,1.16435,1.17126,20703
2022-11-11 00:00:00,1.17154,1.17154,1.16471,1.16504,15764
2022-11-11 04:00:00,1.16503,1.17177,1.16501,1.17089,22756
2022-11-11 08:00:00,1.1709,1.17707,1.16921,1.17557,29191
2022-11-11 12:00:00,1.17558,1.17965,1.17194,1.17809,28232
2022-11-11 16:00:00,1.17809,1.18046,1.1709,1.17987,30158
2022-11-11 20:00:00,1.1799,1.18545,1.17958,1.1832799999999999,16039
2022-11-14 00:00:00,1.17917,1.18173,1.17662,1.17887,18132
2022-11-14 04:00:00,1.17886,1.17936,1.1743000000000001,1.17472,20050
2022-11-14 08:00:00,1.17482,1.18291,1.17478,1.18005,26715
2022-11-14 12:00:00,1.18006,1.18128,1.17394,1.17578,25141
2022-11-14 16:00:00,1.17582,1.17666,1.17102,1.17581,27275
2022-11-14 20:00:00,1.17584,1.18023,1.17502,1.17572,12827
2022-11-15 00:00:00,1.17498,1.17672,1.1740599999999999,1.17488,9938
2022-11-15 04:00:00,1.17488,1.1783299999999999,1.17439,1.1776200000000001,13983
2022-11-15 08:00:00,1.17757,1.18445,1.1770100000000001,1.18234,25386
2022-11-15 12:00:00,1.18247,1.20284,1.18207,1.19669,28004
2022-11-15 16:00:00,1.19674,1.19888,1.1856,1.18922,33432
2022-11-15 20:00:00,1.18926,1.18973,1.17909,1.18658,29809
2022-11-16 00:00:00,1.18542,1.18873,1.18329,1.1844000000000001,15342
2022-11-16 04:00:00,1.18442,1.18845,1.18313,1.18709,21700
2022-11-16 08:00:00,1.1871,1.19031,1.1837,1.18953,24787
2022-11-16 12:00:00,1.18954,1.1942,1.18598,1.18727,25470
2022-11-16 16:00:00,1.18731,1.19056,1.18321,1.1895,28090
2022-11-16 20:00:00,1.18952,1.19251,1.18692,1.19143,17802
2022-11-17 00:00:00,1.19122,1.19192,1.18832,1.18872,11561
2022-11-17 04:00:00,1.18872,1.19045,1.18662,1.18974,19754
2022-11-17 08:00:00,1.1897,1.19577,1.187,1.18864,24170
2022-11-17 12:00:00,1.18866,1.18889,1.17624,1.17649,28291
2022-11-17 16:00:00,1.17654,1.18441,1.17634,1.1837,27578
2022-11-17 20:00:00,1.18367,1.18682,1.18349,1.1864,14553
2022-11-18 00:00:00,1.18617,1.19012,1.1857199999999999,1.18862,12278
2022-11-18 04:00:00,1.1886,1.1931,1.18859,1.19035,16255
2022-11-18 08:00:00,1.19035,1.19508,1.18813,1.19275,23526
2022-11-18 12:00:00,1.19275,1.19413,1.18905,1.19062,20695
2022-11-18 16:00:00,1.19069,1.19377,1.18735,1.18792,24337
2022-11-18 20:00:00,1.18794,1.19006,1.18753,1.18814,14007
2022-11-21 00:00:00,1.18929,1.18967,1.1846,1.18567,12652
2022-11-21 04:00:00,1.18569,1.18569,1.18211,1.18327,17042
2022-11-21 08:00:00,1.18327,1.18401,1.17927,1.18052,23613
2022-11-21 12:00:00,1.18056,1.18306,1.17847,1.1809,23101
2022-11-21 16:00:00,1.18093,1.18275,1.17788,1.17934,24472
2022-11-21 20:00:00,1.1792799999999999,1.18244,1.17912,1.18231,14692
2022-11-22 00:00:00,1.18214,1.18592,1.18185,1.18531,12929
2022-11-22 04:00:00,1.18532,1.18638,1.18337,1.18444,15866
2022-11-22 08:00:00,1.18444,1.1884000000000001,1.18246,1.18602,23863
2022-11-22 12:00:00,1.1859899999999999,1.19029,1.18463,1.18766,19567
2022-11-22 16:00:00,1.18773,1.18912,1.18553,1.18819,22926
2022-11-22 20:00:00,1.18817,1.18937,1.18744,1.18846,13541
2022-11-23 00:00:00,1.18847,1.1909399999999999,1.18761,1.18848,10388
2022-11-23 04:00:00,1.18848,1.1893799999999999,1.18723,1.18861,10228
2022-11-23 08:00:00,1.18859,1.19364,1.18748,1.19192,19698
2022-11-23 12:00:00,1.19194,1.19818,1.1905000000000001,1.19707,20899
2022-11-23 16:00:00,1.19707,1.20808,1.1966,1.20295,26937
2022-11-23 20:00:00,1.20295,1.20721,1.20194,1.20539,19020
2022-11-24 00:00:00,1.2052,1.2092,1.20462,1.2088,16301
2022-11-24 04:00:00,1.20881,1.2113,1.20794,1.20932,15084
2022-11-24 08:00:00,1.2093,1.20974,1.20596,1.20935,20193
2022-11-24 12:00:00,1.20935,1.21324,1.20869,1.21176,20681
2022-11-24 16:00:00,1.21176,1.21534,1.21162,1.2123599999999999,16607
2022-11-24 20:00:00,1.21237,1.21238,1.21108,1.21133,7110
