entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,weight_fvg,weight_vwap,weight_obv,weight_volume
2023-10-30 11:00:00,1.20972,SELL,0.01,1.211066726440345,1.2070265471193098,VIRTUAL,2023-10-30 12:00:00,1.211066726440345,SL,-1.3467264403450585,-13.467264403450585,93.5,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-10-30 14:30:00,1.21348,BUY,0.01,1.2121049536569988,1.2162300926860021,VIRTUAL,2023-10-30 17:30:00,1.2121049536569988,SL,-1.3750463430011184,-13.750463430011184,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-10-30 17:30:00,1.21374,BUY,0.01,1.2118018542556939,1.2176162914886126,VIRTUAL,2023-10-31 12:00:00,1.2176162914886126,TP,3.876291488612571,38.76291488612571,80.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-10-31 12:30:00,1.2184,BUY,0.01,1.2170716892050206,1.2210566215899585,VIRTUAL,2023-10-31 15:30:00,1.2170716892050206,SL,-1.3283107949793038,-13.283107949793038,80.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-10-31 15:30:00,1.21618,BUY,0.01,1.2145570491856557,1.219425901628689,VIRTUAL,2023-10-31 16:15:00,1.2145570491856557,SL,-1.6229508143443816,-16.229508143443816,73.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-10-31 20:00:00,1.2146,SELL,0.01,1.216533376697484,1.210733246605032,VIRTUAL,2023-11-01 16:15:00,1.210733246605032,TP,3.8667533949678923,38.66753394967892,72.4,HIGH,BEARISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-02 02:15:00,1.2176,BUY,0.01,1.2164625514607368,1.2198748970785267,VIRTUAL,2023-11-02 10:45:00,1.2164625514607368,SL,-1.1374485392632305,-11.374485392632305,83.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-02 13:00:00,1.21864,BUY,0.01,1.2170070139519151,1.2219059720961698,VIRTUAL,2023-11-02 15:15:00,1.2219059720961698,TP,3.2659720961698553,32.659720961698554,99.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-02 15:15:00,1.22185,BUY,0.01,1.220138287909417,1.2252734241811665,VIRTUAL,2023-11-02 16:15:00,1.220138287909417,SL,-1.711712090583184,-17.11712090583184,86.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-02 16:15:00,1.22045,BUY,0.01,1.218256986093449,1.224836027813102,VIRTUAL,2023-11-02 17:00:00,1.218256986093449,SL,-2.1930139065511334,-21.930139065511334,71.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-02 21:15:00,1.22004,BUY,0.01,1.2187005068090202,1.2227189863819599,VIRTUAL,2023-11-03 03:15:00,1.2187005068090202,SL,-1.3394931909798122,-13.394931909798125,78.65,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-03 13:00:00,1.22196,BUY,0.01,1.2208868700161253,1.224106259967749,VIRTUAL,2023-11-03 15:30:00,1.224106259967749,TP,2.146259967749087,21.462599677490868,86.0,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-03 15:30:00,1.23032,BUY,0.01,1.2279318074483643,1.2350963851032717,VIRTUAL,2023-11-03 18:00:00,1.2350963851032717,TP,4.776385103271608,47.763851032716076,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-03 18:00:00,1.23506,BUY,0.01,1.2324493697805288,1.2402812604389426,VIRTUAL,2023-11-06 10:30:00,1.2402812604389426,TP,5.221260438942554,52.21260438942554,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-06 14:15:00,1.24196,BUY,0.01,1.24066753768946,1.2445449246210798,VIRTUAL,2023-11-06 14:45:00,1.24066753768946,SL,-1.292462310539921,-12.924623105399213,70.5,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
2023-11-06 14:45:00,1.23918,BUY,0.01,1.237587617197861,1.2423647656042776,VIRTUAL,2023-11-06 17:00:00,1.237587617197861,SL,-1.5923828021389141,-15.923828021389141,81.65,HIGH,BULLISH_BIAS,M15,H1,0.01,4,2.0,True,1.5,3.0,50,100,70.0,35.0,50,0,0,0
