weight_name,fvg_weight,vwap_weight,obv_weight,volume_weight,total_trades,win_rate,profit_factor,return_pct,max_drawdown
FVG Dominant,60,20,10,10,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
Balanced,50,20,15,15,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
VWAP Focus,40,35,15,10,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
Volume Focus,40,20,15,25,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
FVG + VWAP,55,30,10,5,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
FVG + Volume,55,15,5,25,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924
