confidence_score,adx_threshold,loss_trigger,total_trades,win_rate,profit_factor,return_pct,max_drawdown,virtual_trades,real_trades
70,20,1,281,36.654804270462634,1.215858551087635,42.34728714365684,19.490605026994388,104,177
70,20,2,281,36.654804270462634,1.1839556003400438,31.56228383739682,16.482864013622894,174,107
70,20,3,281,36.654804270462634,1.1584670456968416,24.95495607109939,15.352238243219391,218,63
70,20,5,281,36.654804270462634,1.1181083338273214,17.170160470063138,14.755106981580429,261,20
70,25,1,281,36.654804270462634,1.215858551087635,42.34728714365684,19.490605026994388,104,177
70,25,2,281,36.654804270462634,1.1839556003400438,31.56228383739682,16.482864013622894,174,107
70,25,3,281,36.654804270462634,1.1584670456968416,24.95495607109939,15.352238243219391,218,63
70,25,5,281,36.654804270462634,1.1181083338273214,17.170160470063138,14.755106981580429,261,20
70,30,1,281,36.654804270462634,1.215858551087635,42.34728714365684,19.490605026994388,104,177
70,30,2,281,36.654804270462634,1.1839556003400438,31.56228383739682,16.482864013622894,174,107
70,30,3,281,36.654804270462634,1.1584670456968416,24.95495607109939,15.352238243219391,218,63
70,30,5,281,36.654804270462634,1.1181083338273214,17.170160470063138,14.755106981580429,261,20
70,35,1,281,36.654804270462634,1.215858551087635,42.34728714365684,19.490605026994388,104,177
70,35,2,281,36.654804270462634,1.1839556003400438,31.56228383739682,16.482864013622894,174,107
70,35,3,281,36.654804270462634,1.1584670456968416,24.95495607109939,15.352238243219391,218,63
70,35,5,281,36.654804270462634,1.1181083338273214,17.170160470063138,14.755106981580429,261,20
75,20,1,314,34.394904458598724,1.153880325126606,31.884426607761583,15.90939877683947,109,205
75,20,2,314,34.394904458598724,1.1129005413610973,20.476884064066468,13.077526188789523,183,131
75,20,3,314,34.394904458598724,1.0758190149375477,12.687500895176795,11.95272803552571,237,77
75,20,5,314,34.394904458598724,1.0280428259367178,4.394890080098563,14.726415422060082,291,23
75,25,1,314,34.394904458598724,1.153880325126606,31.884426607761583,15.90939877683947,109,205
75,25,2,314,34.394904458598724,1.1129005413610973,20.476884064066468,13.077526188789523,183,131
75,25,3,314,34.394904458598724,1.0758190149375477,12.687500895176795,11.95272803552571,237,77
75,25,5,314,34.394904458598724,1.0280428259367178,4.394890080098563,14.726415422060082,291,23
75,30,1,314,34.394904458598724,1.153880325126606,31.884426607761583,15.90939877683947,109,205
75,30,2,314,34.394904458598724,1.1129005413610973,20.476884064066468,13.077526188789523,183,131
75,30,3,314,34.394904458598724,1.0758190149375477,12.687500895176795,11.95272803552571,237,77
75,30,5,314,34.394904458598724,1.0280428259367178,4.394890080098563,14.726415422060082,291,23
75,35,1,314,34.394904458598724,1.153880325126606,31.884426607761583,15.90939877683947,109,205
75,35,2,314,34.394904458598724,1.1129005413610973,20.476884064066468,13.077526188789523,183,131
75,35,3,314,34.394904458598724,1.0758190149375477,12.687500895176795,11.95272803552571,237,77
75,35,5,314,34.394904458598724,1.0280428259367178,4.394890080098563,14.726415422060082,291,23
80,20,1,307,33.22475570032573,1.0636705273859073,14.321422736343095,26.108603127183223,103,204
80,20,2,307,33.22475570032573,1.0351886838974333,6.82942064338215,21.662741506427057,173,134
80,20,3,307,33.22475570032573,1.0117910889719965,2.0745355611531267,19.945526236009286,224,83
80,20,5,307,33.22475570032573,0.9823130592993514,-2.8226885522017966,16.84903765844657,276,31
80,25,1,307,33.22475570032573,1.0636705273859073,14.321422736343095,26.108603127183223,103,204
80,25,2,307,33.22475570032573,1.0351886838974333,6.82942064338215,21.662741506427057,173,134
80,25,3,307,33.22475570032573,1.0117910889719965,2.0745355611531267,19.945526236009286,224,83
80,25,5,307,33.22475570032573,0.9823130592993514,-2.8226885522017966,16.84903765844657,276,31
80,30,1,307,33.22475570032573,1.0636705273859073,14.321422736343095,26.108603127183223,103,204
80,30,2,307,33.22475570032573,1.0351886838974333,6.82942064338215,21.662741506427057,173,134
80,30,3,307,33.22475570032573,1.0117910889719965,2.0745355611531267,19.945526236009286,224,83
80,30,5,307,33.22475570032573,0.9823130592993514,-2.8226885522017966,16.84903765844657,276,31
80,35,1,307,33.22475570032573,1.0636705273859073,14.321422736343095,26.108603127183223,103,204
80,35,2,307,33.22475570032573,1.0351886838974333,6.82942064338215,21.662741506427057,173,134
80,35,3,307,33.22475570032573,1.0117910889719965,2.0745355611531267,19.945526236009286,224,83
80,35,5,307,33.22475570032573,0.9823130592993514,-2.8226885522017966,16.84903765844657,276,31
85,20,1,235,33.61702127659574,1.0357846120056873,6.432505815545099,28.79952901666632,80,155
85,20,2,235,33.61702127659574,1.0099168293411485,1.5328363434645098,23.146711385339387,134,101
85,20,3,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924,172,63
85,20,5,235,33.61702127659574,0.9542276052501552,-5.811874350080728,17.630816938454252,212,23
85,25,1,235,33.61702127659574,1.0357846120056873,6.432505815545099,28.79952901666632,80,155
85,25,2,235,33.61702127659574,1.0099168293411485,1.5328363434645098,23.146711385339387,134,101
85,25,3,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924,172,63
85,25,5,235,33.61702127659574,0.9542276052501552,-5.811874350080728,17.630816938454252,212,23
85,30,1,235,33.61702127659574,1.0357846120056873,6.432505815545099,28.79952901666632,80,155
85,30,2,235,33.61702127659574,1.0099168293411485,1.5328363434645098,23.146711385339387,134,101
85,30,3,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924,172,63
85,30,5,235,33.61702127659574,0.9542276052501552,-5.811874350080728,17.630816938454252,212,23
